area1 1DIP																	
10																	
11																	
3																	
"Type of measurement (0=app.resistivity,1=resistance)"																	
1																	
509																	
2																	
11																	
Chargeability																	
mV/V																	
2 0.01 0.02 0.02 0.80 0.50									resist	ip		a	b	m 	n		
4	230	0	220	0	200	0	210	0	10.1942	2.28467	0	24	23	21	22		71
4	260	0	250	0	200	0	210	0	0.12223	3.11357	0	27	26	21	22		
4	260	0	250	0	210	0	220	0	0.297385	4.90235	0	27	26	22	23		
4	270	0	260	0	200	0	210	0	0.0723694	10.7814	0	28	27	21	22		
4	280	0	260	0	200	0	220	0	0.339773	10.1535	0	29	27	21	23		
4	260	0	250	0	220	0	230	0	1.23799	4.35725	0	27	26	23	24		
4	270	0	260	0	210	0	220	0	0.146552	8.62783	0	28	27	22	23		
4	270	0	260	0	220	0	230	0	0.461593	5.37556	0	28	27	23	24		
4	290	0	280	0	200	0	210	0	0.0225224	18.2807	0	30	29	21	22		
4	290	0	280	0	210	0	220	0	0.0387754	9.1543	0	30	29	22	23		
4	300	0	280	0	200	0	220	0	0.104531	5.56181	0	31	29	21	23		
4	300	0	290	0	200	0	210	0	0.0151603	-7.7431	0	31	30	21	22		
4	290	0	280	0	220	0	230	0	0.0901354	8.78749	0	30	29	23	24		
4	300	0	290	0	210	0	220	0	0.0281542	12.373	0	31	30	22	23		
4	300	0	290	0	220	0	230	0	0.0544341	6.66371	0	31	30	23	24		
4	310	0	300	0	210	0	220	0	0.00229531	125.698	0	32	31	22	23		
4	320	0	300	0	200	0	220	0	0.000177862	5.17337	0	33	31	21	23		
4	310	0	300	0	220	0	230	0	0.00269556	-9.62017	0	32	31	23	24		
4	320	0	310	0	220	0	230	0	-0.00263621	-28.4352	0	33	32	23	24		
4	290	0	280	0	250	0	260	0	1.21418	3.03798	0	30	29	26	27		
4	340	0	320	0	200	0	220	0	0.0468847	18.7053	0	35	33	21	23		
4	290	0	280	0	260	0	270	0	11.4357	2.57796	0	30	29	27	28		
4	300	0	290	0	250	0	260	0	0.386507	4.59066	0	31	30	26	27		
4	310	0	300	0	250	0	260	0	0.0251709	13.1738	0	32	31	26	27		
4	340	0	300	0	220	0	260	0	0.554373	7.50203	0	35	31	23	27		
4	360	0	340	0	200	0	220	0	0.0301549	29.5163	0	37	35	21	23		
4	300	0	290	0	260	0	270	0	1.84019	3.66285	0	31	30	27	28		
4	300	0	290	0	270	0	280	0	11.3027	3.01782	0	31	30	28	29		
4	310	0	300	0	260	0	270	0	0.118634	10.8937	0	32	31	27	28		
4	320	0	310	0	250	0	260	0	-0.0240856	11.9745	0	33	32	26	27		
4	320	0	300	0	260	0	280	0	0.0227539	-12.9575	0	33	31	27	29		
4	310	0	300	0	270	0	280	0	0.605527	4.23664	0	32	31	28	29		
4	320	0	310	0	260	0	270	0	-0.113562	10.4095	0	33	32	27	28		
4	330	0	320	0	250	0	260	0	0.17509	6.33049	0	34	33	26	27		
4	380	0	320	0	200	0	260	0	0.899939	12.4382	0	39	33	21	27		
4	310	0	300	0	280	0	290	0	3.71523	2.98017	0	32	31	29	30		
4	320	0	310	0	270	0	280	0	-0.58782	4.23813	0	33	32	28	29		
