Mixed array																
2.5																
11																
0																
"Type of measurement (0=app. resistivity,1=resistance)"																
1																
4067																
1																
1																
Chargeability																
msec																
"0.1,  1.0"	C1		C2		P1		P2				a	b	m	n		
4	60	0	82.5	0	2.5	0	5	0	-0.0219029	0	25	34	2	3		64
4	60	0	82.5	0	10	0	12.5	0	-0.09290749	0	25	34	5	6		
4	60	0	82.5	0	15	0	17.5	0	-0.0113061	0	25	34	7	8		
4	60	0	82.5	0	17.5	0	20	0	-0.02911315	0	25	34	8	9		
4	60	0	82.5	0	22.5	0	25	0	-0.04413667	0	25	34	10	11		
4	60	0	82.5	0	30	0	32.5	0	-0.01295233	0	25	34	13	14		
4	60	0	82.5	0	32.5	0	35	0	-0.07196379	0	25	34	14	15		
4	60	0	82.5	0	37.5	0	40	0	-0.05615914	0	25	34	16	17		
4	60	0	82.5	0	40	0	42.5	0	-0.04990406	0	25	34	17	18		
4	60	0	82.5	0	42.5	0	45	0	-0.07124642	0	25	34	18	19		
4	60	0	82.5	0	45	0	47.5	0	-0.1098231	0	25	34	19	20		
4	60	0	82.5	0	47.5	0	50	0	-0.1548512	37.10118866	25	34	20	21		
4	60	0	82.5	0	50	0	52.5	0	-0.1164769	0	25	34	21	22		
4	60	0	82.5	0	52.5	0	55	0	-0.31358179	46.83309937	25	34	22	23		
4	60	0	82.5	0	62.5	0	65	0	1.39272904	39.19018173	25	34	26	27		
4	60	0	82.5	0	65	0	67.5	0	0.60852271	43.42303848	25	34	27	28		
4	60	0	82.5	0	67.5	0	70	0	0.3320758	51.81800079	25	34	28	29		
4	60	0	82.5	0	70	0	72.5	0	0.2385653	49.527771	25	34	29	30		
4	60	0	82.5	0	72.5	0	75	0	0.281077	46.84502029	25	34	30	31		
4	60	0	82.5	0	75	0	77.5	0	0.37667891	49.00289917	25	34	31	32		
4	60	0	82.5	0	100	0	102.5	0	-0.03485422	0	25	34	41	42		
4	60	0	82.5	0	102.5	0	105	0	-0.01093273	0	25	34	42	43		
4	60	0	82.5	0	105	0	107.5	0	-0.04909763	0	25	34	43	44		
4	60	0	82.5	0	110	0	112.5	0	-0.0692683	0	25	34	45	46		
4	60	0	82.5	0	115	0	117.5	0	-0.04823152	0	25	34	47	48		
4	60	0	82.5	0	120	0	122.5	0	-0.02078585	0	25	34	49	50		
4	60	0	82.5	0	125	0	127.5	0	-0.01024065	0	25	34	51	52		
4	60	0	82.5	0	130	0	132.5	0	-0.04739171	0	25	34	53	54		
4	60	0	82.5	0	135	0	137.5	0	-0.02179261	0	25	34	55	56		
4	60	0	82.5	0	147.5	0	150	0	-0.02167828	0	25	34	60	61		
4	60	0	82.5	0	150	0	152.5	0	-0.0203872	0	25	34	61	62		
4	55	0	82.5	0	2.5	0	5	0	-0.02433835	0	23	34	2	3		
4	55	0	82.5	0	10	0	12.5	0	-0.08799676	0	23	34	5	6		
