"ejemplo, Profile #1"													
10													
3													
186													
0				x									
0				c2	c1	p1 	p2	c2 num	c1 num	p1 num	p2 num		24
0	10	1	30.04	0	10	20	30	1	2	3	4		
10	10	1	33.64	10	20	30	40	2	3	4	5		
20	10	1	37.87	20	30	40	50	3	4	5	6		
30	10	1	44.08	30	40	50	60	4	5	6	7		
40	10	1	55	40	50	60	70	5	6	7	8		
50	10	1	22.79	50	60	70	80	6	7	8	9		
70	10	1	55.59	70	80	90	100	8	9	10	11		
100	10	1	16.31	100	110	120	130	11	12	13	14		
110	10	1	14.19	110	120	130	140	12	13	14	15		
120	10	1	11.11	120	130	140	150	13	14	15	16		
130	10	1	15.42	130	140	150	160	14	15	16	17		
140	10	1	10.33	140	150	160	170	15	16	17	18		
150	10	1	16.06	150	160	170	180	16	17	18	19		
170	10	1	13.37	170	180	190	200	18	19	20	21		
180	10	1	13.61	180	190	200	210	19	20	21	22		
190	10	1	16.63	190	200	210	220	20	21	22	23		
200	10	1	15.95	200	210	220	230	21	22	23	24		
0	10	2	21.07	0	10	30	40	1	2	4	5		
10	10	2	20.76	10	20	40	50	2	3	5	6		
20	10	2	28.54	20	30	50	60	3	4	6	7		
30	10	2	37.75	30	40	60	70	4	5	7	8		
40	10	2	24.7	40	50	70	80	5	6	8	9		
60	10	2	15.32	60	70	90	100	7	8	10	11		
70	10	2	13.62	70	80	100	110	8	9	11	12		
100	10	2	12.37	100	110	130	140	11	12	14	15		
110	10	2	8.46	110	120	140	150	12	13	15	16		
120	10	2	10.5	120	130	150	160	13	14	16	17		
130	10	2	12.59	130	140	160	170	14	15	17	18		
140	10	2	5.47	140	150	170	180	15	16	18	19		
150	10	2	12.1	150	160	180	190	16	17	19	20		
170	10	2	9.16	170	180	200	210	18	19	21	22		
180	10	2	12.1	180	190	210	220	19	20	22	23		
190	10	2	10.32	190	200	220	230	20	21	23	24		
0	10	3	12.66	0	10	40	50	1	2	5	6		
10	10	3	20.86	10	20	50	60	2	3	6	7		
20	10	3	26.28	20	30	60	70	3	4	7	8		
30	10	3	20.07	30	40	70	80	4	5	8	9		
50	10	3	31.74	50	60	90	100	6	7	10	11		
60	10	3	15.52	60	70	100	110	7	8	11	12		
70	10	3	13.29	70	80	110	120	8	9	12	13		
100	10	3	7.87	100	110	140	150	11	12	15	16		
110	10	3	13.04	110	120	150	160	12	13	16	17		
120	10	3	8.76	120	130	160	170	13	14	17	18		
130	10	3	9.44	130	140	170	180	14	15	18	19		
140	10	3	4.95	140	150	180	190	15	16	19	20		
150	10	3	10.33	150	160	190	200	16	17	20	21		
170	10	3	7.82	170	180	210	220	18	19	22	23		
180	10	3	7.54	180	190	220	230	19	20	23	24		
0	10	4	17.4	0	10	50	60	1	2	6	7		
10	10	4	21.96	10	20	60	70	2	3	7	8		
20	10	4	16.76	20	30	70	80	3	4	8	9		
40	10	4	16.38	40	50	90	100	5	6	10	11		
50	10	4	13.65	50	60	100	110	6	7	11	12		
60	10	4	18.2	60	70	110	120	7	8	12	13		
70	10	4	11.13	70	80	120	130	8	9	13	14		
100	10	4	13.14	100	110	150	160	11	12	16	17		
110	10	4	11.04	110	120	160	170	12	13	17	18		
120	10	4	7	120	130	170	180	13	14	18	19		
130	10	4	9.25	130	140	180	190	14	15	19	20		
140	10	4	3.74	140	150	190	200	15	16	20	21		
150	10	4	6.22	150	160	200	210	16	17	21	22		
170	10	4	4.18	170	180	220	230	18	19	23	24		
0	30	0.3333	31.06	0	30	40	70	1	4	5	8		
10	30	0.3333	35.47	10	40	50	80	2	5	6	9		
30	30	0.3333	21.99	30	60	70	100	4	7	8	11		
40	30	0.3333	25.64	40	70	80	110	5	8	9	12		
50	30	0.3333	26.28	50	80	90	120	6	9	10	13		
70	30	0.3333	20.7	70	100	110	140	8	11	12	15		
80	30	0.3333	14.1	80	110	120	150	9	12	13	16		
100	30	0.3333	10.85	100	130	140	170	11	14	15	18		
110	30	0.3333	13.27	110	140	150	180	12	15	16	19		
120	30	0.3333	9.87	120	150	160	190	13	16	17	20		
130	30	0.3333	13.08	130	160	170	200	14	17	18	21		
140	30	0.3333	12.94	140	170	180	210	15	18	19	22		
150	30	0.3333	12.25	150	180	190	220	16	19	20	23		
0	30	0.6667	24.08	0	30	50	80	1	4	6	9		
20	30	0.6667	23.75	20	50	70	100	3	6	8	11		
30	30	0.6667	18.45	30	60	80	110	4	7	9	12		
40	30	0.6667	55.69	40	70	90	120	5	8	10	13		
50	30	0.6667	14.7	50	80	100	130	6	9	11	14		
70	30	0.6667	12.04	70	100	120	150	8	11	13	16		
80	30	0.6667	12.25	80	110	130	160	9	12	14	17		
100	30	0.6667	11.08	100	130	150	180	11	14	16	19		
110	30	0.6667	10.98	110	140	160	190	12	15	17	20		
120	30	0.6667	7.99	120	150	170	200	13	16	18	21		
130	30	0.6667	10.24	130	160	180	210	14	17	19	22		
140	30	0.6667	10.11	140	170	190	220	15	18	20	23		
150	30	0.6667	10.17	150	180	200	230	16	19	21	24		
10	30	1	21.31	10	40	70	100	2	5	8	11		
20	30	1	19.79	20	50	80	110	3	6	9	12		
30	30	1	87.5	30	60	90	120	4	7	10	13		
40	30	1	16.49	40	70	100	130	5	8	11	14		
50	30	1	15.58	50	80	110	140	6	9	12	15		
70	30	1	13.53	70	100	130	160	8	11	14	17		
80	30	1	10.98	80	110	140	170	9	12	15	18		
100	30	1	10.18	100	130	160	190	11	14	17	20		
110	30	1	10.39	110	140	170	200	12	15	18	21		
120	30	1	7.45	120	150	180	210	13	16	19	22		
130	30	1	9.02	130	160	190	220	14	17	20	23		
140	30	1	8.84	140	170	200	230	15	18	21	24		
0	30	1.3333	19.56	0	30	70	100	1	4	8	11		
10	30	1.3333	19.81	10	40	80	110	2	5	9	12		
20	30	1.3333	86.46	20	50	90	120	3	6	10	13		
30	30	1.3333	16.95	30	60	100	130	4	7	11	14		
40	30	1.3333	18.03	40	70	110	140	5	8	12	15		
50	30	1.3333	14.2	50	80	120	150	6	9	13	16		
70	30	1.3333	12.13	70	100	140	170	8	11	15	18		
80	30	1.3333	13.68	80	110	150	180	9	12	16	19		
100	30	1.3333	9.62	100	130	170	200	11	14	18	21		
110	30	1.3333	8.47	110	140	180	210	12	15	19	22		
120	30	1.3333	7.07	120	150	190	220	13	16	20	23		
130	30	1.3333	7.7	130	160	200	230	14	17	21	24		
0	30	1.6667	20.05	0	30	80	110	1	4	9	12		
20	30	1.6667	17.36	20	50	100	130	3	6	11	14		
30	30	1.6667	17.83	30	60	110	140	4	7	12	15		
40	30	1.6667	15.78	40	70	120	150	5	8	13	16		
50	30	1.6667	15.07	50	80	130	160	6	9	14	17		
70	30	1.6667	12.98	70	100	150	180	8	11	16	19		
80	30	1.6667	11.68	80	110	160	190	9	12	17	20		
100	30	1.6667	8.46	100	130	180	210	11	14	19	22		
110	30	1.6667	7.82	110	140	190	220	12	15	20	23		
120	30	1.6667	5.82	120	150	200	230	13	16	21	24		
0	30	2	14.03	0	30	90	120	1	4	10	13		
10	30	2	17.96	10	40	100	130	2	5	11	14		
20	30	2	17.38	20	50	110	140	3	6	12	15		
30	30	2	14.98	30	60	120	150	4	7	13	16		
40	30	2	17.22	40	70	130	160	5	8	14	17		
50	30	2	13.34	50	80	140	170	6	9	15	18		
70	30	2	10.29	70	100	160	190	8	11	17	20		
80	30	2	10.64	80	110	170	200	9	12	18	21		
100	30	2	6.95	100	130	190	220	11	14	20	23		
110	30	2	5.99	110	140	200	230	12	15	21	24		
0	30	2.3333	19.24	0	30	100	130	1	4	11	14		
10	30	2.3333	18.61	10	40	110	140	2	5	12	15		
20	30	2.3333	13.2	20	50	120	150	3	6	13	16		
30	30	2.3333	15.26	30	60	130	160	4	7	14	17		
40	30	2.3333	13.14	40	70	140	170	5	8	15	18		
50	30	2.3333	14.3	50	80	150	180	6	9	16	19		
70	30	2.3333	8.93	70	100	170	200	8	11	18	21		
80	30	2.3333	8.03	80	110	180	210	9	12	19	22		
100	30	2.3333	5.34	100	130	200	230	11	14	21	24		
0	30	2.6667	16.63	0	30	110	140	1	4	12	15		
10	30	2.6667	13.93	10	40	120	150	2	5	13	16		
20	30	2.6667	12.39	20	50	130	160	3	6	14	17		
30	30	2.6667	12.19	30	60	140	170	4	7	15	18		
40	30	2.6667	14.65	40	70	150	180	5	8	16	19		
50	30	2.6667	10.81	50	80	160	190	6	9	17	20		
70	30	2.6667	3.62	70	100	180	210	8	11	19	22		
80	30	2.6667	6.56	80	110	190	220	9	12	20	23		
0	30	3	13.98	0	30	120	150	1	4	13	16		
10	30	3	12.97	10	40	130	160	2	5	14	17		
20	30	3	8.4	20	50	140	170	3	6	15	18		
30	30	3	12.08	30	60	150	180	4	7	16	19		
40	30	3	11.04	40	70	160	190	5	8	17	20		
50	30	3	7.67	50	80	170	200	6	9	18	21		
70	30	3	4.52	70	100	190	220	8	11	20	23		
80	30	3	4.51	80	110	200	230	9	12	21	24		
0	30	3.3333	14.34	0	30	130	160	1	4	14	17		
10	30	3.3333	9.44	10	40	140	170	2	5	15	18		
20	30	3.3333	10.17	20	50	150	180	3	6	16	19		
30	30	3.3333	9.15	30	60	160	190	4	7	17	20		
40	30	3.3333	7.56	40	70	170	200	5	8	18	21		
50	30	3.3333	1.33	50	80	180	210	6	9	19	22		
70	30	3.3333	2.18	70	100	200	230	8	11	21	24		
0	30	3.6667	12.96	0	30	140	170	1	4	15	18		
10	30	3.6667	8.07	10	40	150	180	2	5	16	19		
20	30	3.6667	6.59	20	50	160	190	3	6	17	20		
30	30	3.6667	4.65	30	60	170	200	4	7	18	21		
40	30	3.6667	1.9	40	70	180	210	5	8	19	22		
50	30	3.6667	0.58	50	80	190	220	6	9	20	23		
0	30	4	2.77	0	30	150	180	1	4	16	19		
10	30	4	5.1	10	40	160	190	2	5	17	20		
40	30	4	1.51	40	70	190	220	5	8	20	23		
0	50	1.8	9.23	0	50	140	190	1	6	15	20		
10	50	1.8	12.52	10	60	150	200	2	7	16	21		
20	50	1.8	13.05	20	70	160	210	3	8	17	22		
30	50	1.8	6.84	30	80	170	220	4	9	18	23		
0	50	2	10.6	0	50	150	200	1	6	16	21		
10	50	2	13.83	10	60	160	210	2	7	17	22		
20	50	2	6.6	20	70	170	220	3	8	18	23		
30	50	2	5.03	30	80	180	230	4	9	19	24		
0	50	2.2	5.58	0	50	160	210	1	6	17	22		
10	50	2.2	6.54	10	60	170	220	2	7	18	23		
0	50	2.4	3.66	0	50	170	220	1	6	18	23		
10	50	2.4	5.08	10	60	180	230	2	7	19	24		
0	50	2.6	3.78	0	50	180	230	1	6	19	24		
0													
0													
0													
0													
0													
